Sl. No,Project Name,Agency,Project Code,State,Approval Date,Start Date,Target DoC,Revised DoC,Original Cost,Revised Cost,Cumulative Expenditure,Physical Progress
18,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],701127,Rajasthan,06/2022,05/2023,03/2026,06/2026,480,480,348.2,100
19,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],701128,Rajasthan,06/2023,11/2023,03/2026,09/2026,887,887,587.22,78.71
20,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],612793,Sikkim,11/2023,12/2023,06/2026,06/2027,323.26,323.26,87.61,36.14
21,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],611602,Tamil Nadu,05/2018,06/2023,07/2025,12/2026,1207,1207,331.85,46
22,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Airport Authority of India [AAI],701113,Uttar Pradesh,07/2024,07/2024,07/2027,07/2027,2869.65,2869.65,746.93,33
23,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],701122,Uttar Pradesh,06/2024,07/2024,07/2026,11/2026,579,579,224.58,44.94
24,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],611495,West Bengal,08/2024,09/2024,03/2027,03/2027,1549,1549,548.3,27.9
25,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],612791,West Bengal,03/2023,12/2023,10/2025,08/2026,328.3,328.3,153.52,73.5
64,CHUPERBHITA SIMLONG OCP MDO 6,ECL - CIL,616225,Jharkhand,12/2023,12/2023,03/2037,-,979.08,979.08,0,0.05
65,JARANGDIH EXPN. OCP 1.5 MTY,CCL - CIL,616236,Jharkhand,02/2020,02/2020,03/2029,-,372.06,372.06,85.6,32.99
66,BLOCK E OCP,BCCL - CIL,616253,Jharkhand,03/2024,03/2024,03/2029,-,5850.83,5850.83,20.32,4.18
67,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",Bharat Coking Coal Limited [BCCL],617416,Jharkhand,06/2025,07/2025,12/2028,-,5940.47,5940.47,520.75,34
68,North Dhadu Western Part OCP,NLC India Limited [NLCIL],617764,Jharkhand,10/2023,12/2023,03/2029,-,1354.2,1354.2,233.77,40
69,AMADAND OCP[4.0MTY],SECL - CIL,400148,Madhya Pradesh,03/2016,03/2016,03/2021,03/2027,869.44,869.44,325.09,75.15
70,BLOCK B EXPANSION [3.5 TO 8.0,NCL - CIL,400162,Madhya Pradesh,07/2019,07/2019,03/2023,03/2027,998.71,998.71,545.34,51.31
71,NIGAHI EXPANSION [15 TO 25 MTP,NCL - CIL,400321,Madhya Pradesh,11/2020,11/2020,03/2025,03/2028,1729.68,1729.68,985.35,53.73
72,KANCHAN OC EXP,SECL - CIL,613802,Madhya Pradesh,12/2014,12/2014,03/2026,03/2028,371.04,371.04,157.9,58.2
73,JHIRIA WEST OCP [1.5 MTY],SECL - CIL,613803,Madhya Pradesh,01/2024,01/2024,03/2029,-,366.94,366.94,37.19,41.29
74,RPR TAWA-III UG 0.84 MTY,WCL - CIL,613804,Madhya Pradesh,12/2021,12/2021,03/2027,-,314.09,314.09,17.9,17.78
75,AMALGAMATED DHANKASA & JAMUNIA,WCL - CIL,615185,Madhya Pradesh,09/2022,09/2022,03/2027,-,399.2,399.2,117.2,67.13
76,RPR OF VISHNUPURI UG TO OC,WCL - CIL,615187,Madhya Pradesh,11/2022,11/2022,03/2029,-,220.62,220.62,0,11.2
77,URDHAN EXPANSION OC COST PLUS,WCL - CIL,615194,Madhya Pradesh,07/2022,01/2023,03/2031,-,206.88,206.88,50.69,2.02
78,SHARDA UG MINE,WCL - CIL,615195,Madhya Pradesh,07/2022,09/2023,03/2028,-,166.25,166.25,5.93,9.39
